arm,engine,split,task_id,task_type,trial,pass_loose,pass_strict,termination,truncated,flood,db,comm,agent_turns,n_messages,n_tool_calls,n_write_calls,gold_all_done,regrade_pass
base_legacy,legacy,test,0,none,0,1,1,user_stop,0,0,1.0,1.0,6,12,2,0,1,
base_legacy,legacy,test,36,read,0,1,1,user_stop,0,0,1.0,1.0,6,12,3,0,1,
base_legacy,legacy,test,0,none,1,1,1,user_stop,0,0,1.0,1.0,7,14,2,0,1,
base_legacy,legacy,test,11,write,0,0,0,user_stop,0,0,0.0,0.0,9,18,5,0,0,
base_legacy,legacy,test,46,none,0,1,1,user_stop,0,0,1.0,1.0,8,16,3,0,1,
base_legacy,legacy,test,26,none,1,1,1,user_stop,0,0,1.0,1.0,10,20,5,0,1,
base_legacy,legacy,test,40,write,0,1,1,user_stop,0,0,1.0,1.0,9,18,2,1,1,
base_legacy,legacy,test,26,none,0,1,1,user_stop,0,0,1.0,1.0,10,20,4,0,1,
base_legacy,legacy,test,25,write,0,0,0,user_stop,0,0,0.0,1.0,9,18,4,1,0,
base_legacy,legacy,test,1,read,1,1,1,user_stop,0,0,1.0,1.0,12,24,7,0,1,
base_legacy,legacy,test,31,none,0,1,1,user_stop,0,0,1.0,1.0,11,22,6,0,1,
base_legacy,legacy,test,5,read,0,1,1,user_stop,0,0,1.0,1.0,11,22,6,0,1,
base_legacy,legacy,test,6,read,0,1,1,user_stop,0,0,1.0,1.0,12,24,6,0,1,
base_legacy,legacy,test,5,read,1,1,1,user_stop,0,0,1.0,1.0,12,24,7,0,1,
base_legacy,legacy,test,1,read,0,1,1,user_stop,0,0,1.0,1.0,12,24,7,0,1,
base_legacy,legacy,test,25,write,1,1,1,user_stop,0,0,1.0,1.0,11,22,5,1,1,
base_legacy,legacy,test,41,read,0,1,1,user_stop,0,0,1.0,1.0,14,28,9,0,1,
base_legacy,legacy,test,11,write,1,1,1,user_stop,0,0,1.0,1.0,14,28,7,1,1,
base_legacy,legacy,test,16,write,0,0,0,user_stop,0,0,0.0,1.0,13,26,6,1,0,
base_legacy,legacy,test,45,read,0,1,1,user_stop,0,0,1.0,1.0,12,24,3,0,1,
base_legacy,legacy,test,36,read,1,1,1,user_stop,0,0,1.0,1.0,7,14,3,0,1,
base_legacy,legacy,test,40,write,1,1,1,user_stop,0,0,1.0,1.0,7,14,2,1,1,
base_legacy,legacy,test,30,write,0,1,1,user_stop,0,0,1.0,1.0,12,24,5,1,1,
base_legacy,legacy,test,46,none,1,1,1,user_stop,0,0,1.0,1.0,6,12,2,0,1,
base_legacy,legacy,test,0,none,2,1,1,user_stop,0,0,1.0,1.0,7,14,2,0,1,
base_legacy,legacy,test,20,write,1,1,1,user_stop,0,1,1.0,1.0,15,30,6,2,1,
base_legacy,legacy,test,31,none,1,1,1,user_stop,0,0,1.0,1.0,13,26,7,0,1,
base_legacy,legacy,test,20,write,0,0,0,user_stop,0,1,0.0,1.0,15,30,7,1,0,
base_legacy,legacy,test,16,write,1,1,1,user_stop,0,1,1.0,1.0,14,28,6,1,1,
base_legacy,legacy,test,35,write,0,1,1,user_stop,0,0,1.0,1.0,18,36,8,2,1,
base_legacy,legacy,test,6,read,1,0,0,max_steps,1,0,,,21,42,11,0,1,1
base_legacy,legacy,test,15,write,1,1,1,user_stop,0,1,1.0,1.0,15,30,7,1,1,
base_legacy,legacy,test,41,read,1,1,1,user_stop,0,0,1.0,1.0,14,28,9,0,1,
base_legacy,legacy,test,30,write,1,1,1,user_stop,0,0,1.0,1.0,15,30,7,1,1,
base_legacy,legacy,test,15,write,0,1,1,user_stop,0,1,1.0,1.0,15,30,6,1,1,
base_legacy,legacy,test,1,read,2,1,1,user_stop,0,0,1.0,1.0,13,26,7,0,1,
base_legacy,legacy,test,15,write,2,1,1,user_stop,0,0,1.0,1.0,10,20,6,1,1,
base_legacy,legacy,test,5,read,2,1,1,user_stop,0,0,1.0,1.0,13,26,6,0,1,
base_legacy,legacy,test,26,none,2,1,1,user_stop,0,0,1.0,1.0,9,18,4,0,1,
base_legacy,legacy,test,31,none,2,1,1,user_stop,0,0,1.0,1.0,9,18,5,0,1,
base_legacy,legacy,test,20,write,2,0,0,user_stop,0,0,0.0,1.0,11,22,4,1,0,
base_legacy,legacy,test,11,write,2,1,1,user_stop,0,0,1.0,1.0,12,24,5,1,1,
base_legacy,legacy,test,46,none,2,1,1,user_stop,0,0,1.0,1.0,6,12,2,0,1,
base_legacy,legacy,test,25,write,2,1,1,user_stop,0,0,1.0,1.0,11,22,5,1,1,
base_legacy,legacy,test,21,write,1,0,0,max_steps,1,1,,,21,41,11,1,0,0
