arm,round,task_id,task_type,reward,outcome,overlong,masked,kill_reason,termination,agent_turns,response_tokens,infra_error
partial,1,3,read,1.0,1.0,0,0,,user_stop,8,1877,0
partial,1,28,none,1.0,1.0,0,0,,user_stop,7,1622,0
partial,1,48,read,1.0,1.0,0,0,,user_stop,6,1570,0
partial,1,28,none,1.0,1.0,0,0,,user_stop,6,1868,0
partial,1,28,none,1.0,1.0,0,0,,user_stop,7,1661,0
partial,1,47,read,0.0,0.0,0,0,,user_stop,7,1490,0
partial,1,49,read,1.0,1.0,0,0,,user_stop,5,2000,0
partial,1,3,read,1.0,1.0,0,0,,user_stop,9,2125,0
partial,1,3,read,1.0,1.0,0,0,,user_stop,7,1826,0
partial,1,47,read,0.0,0.0,0,0,,user_stop,7,1485,0
partial,1,28,none,1.0,1.0,0,0,,user_stop,6,1484,0
partial,1,3,read,1.0,1.0,0,0,,user_stop,9,2020,0
partial,1,49,read,1.0,1.0,0,0,,user_stop,6,1930,0
partial,1,3,read,1.0,1.0,0,0,,user_stop,10,2679,0
partial,1,47,read,0.0,0.0,0,0,,user_stop,8,1518,0
partial,1,19,write,1.0,1.0,0,0,,user_stop,9,2830,0
partial,1,49,read,1.0,1.0,0,0,,user_stop,8,2398,0
partial,1,19,write,1.0,1.0,0,0,,user_stop,11,3008,0
partial,1,13,read,1.0,1.0,0,0,,user_stop,6,2150,0
partial,1,43,read,1.0,1.0,0,0,,user_stop,13,3906,0
partial,1,47,read,0.0,0.0,0,0,,user_stop,8,2224,0
partial,1,7,write,0.0,0.0,0,0,,user_stop,6,2970,0
partial,1,48,read,1.0,1.0,0,0,,user_stop,8,2242,0
partial,1,3,read,1.0,1.0,0,0,,user_stop,9,2282,0
partial,1,48,read,1.0,1.0,0,0,,user_stop,7,2396,0
partial,1,19,write,1.0,1.0,0,0,,user_stop,11,3235,0
partial,1,12,write,0.0,0.0,0,0,,user_stop,7,3294,0
partial,1,48,read,1.0,1.0,0,0,,user_stop,7,2336,0
partial,1,48,read,1.0,1.0,0,0,,user_stop,7,1794,0
partial,1,43,read,1.0,1.0,0,0,,user_stop,12,4241,0
partial,1,47,read,0.0,0.0,0,0,,user_stop,6,2366,0
partial,1,49,read,1.0,1.0,0,0,,user_stop,8,2318,0
partial,1,13,read,1.0,1.0,0,0,,user_stop,8,2351,0
partial,1,13,read,1.0,1.0,0,0,,user_stop,7,1940,0
partial,1,27,read,1.0,1.0,0,0,,user_stop,15,5434,0
partial,1,19,write,1.0,1.0,0,0,,user_stop,10,3235,0
partial,1,19,write,1.0,1.0,0,0,,user_stop,11,3245,0
partial,1,39,write,0.0,0.0,0,0,,user_stop,16,6722,0
partial,1,22,write,0.0,0.0,0,0,,user_stop,13,5031,0
partial,1,4,read,1.0,1.0,0,0,,user_stop,10,3969,0
partial,1,13,read,1.0,1.0,0,0,,user_stop,9,3515,0
partial,1,43,read,1.0,1.0,0,0,,user_stop,12,4681,0
partial,1,27,read,1.0,1.0,0,0,,user_stop,16,5688,0
partial,1,49,read,1.0,1.0,0,0,,user_stop,11,2730,0
